Year,QID,UID,Question,Age range,Categories,Unit,Answer Type,Asked of
1900,22,1900_22,Able to read,,Education,Individual,BN,All respondents
1900,23,1900_23,Able to write,,Education,Individual,BN,All respondents
1900,24,1900_24,Able to speak English,,National origin,Individual,BN,All respondents
1900,25,1900_25,Rent or own,,Housing,Individual,CC,All respondents
1900,26,1900_26,"If owned, mortgaged",,Housing,Individual,BN,All respondents
1900,27,1900_27,Farm or house,,Housing,Individual,CC,All respondents
1910,3,1910_3,Name,,Identity,Individual,FT,All respondents
1910,4,1910_4,Relationship to head of family,,Family,Individual,FT,All respondents
1910,5,1910_5,Sex,,Identity,Individual,FT,All respondents
1910,6,1910_6,Color or race,,Race,Individual,FT,All respondents
1910,7,1910_7,Age,,Identity,Individual,FN,All respondents
1910,8,1910_8,"Single, married, widowed, or divorced",,Family,Individual,CC,All respondents
1910,9,1910_9,Years married,,Family,Individual,FN,All respondents
1910,10,1910_10,Mother of how many children,,Family,Individual,FN,All respondents
1910,11,1910_11,Mother of how many children living,,Family,Individual,FN,All respondents
1910,12,1910_12,Place of Birth (state or country),,National origin,Individual,FT,All respondents
1910,13,1910_13,Father place of birth,,National origin,Individual,FT,All respondents
1910,14,1910_14,Mother place of birth,,National origin,Individual,FT,All respondents
1910,15,1910_15,Year of immigration to US,,Immigration,Individual,FD,All respondents
1910,16,1910_16,Naturalized,,Immigration,Individual,CC,All respondents
1910,17,1910_17,"Able to speak English, if not language spoken",,National origin,Individual,FT,All respondents
1910,18,1910_18,"Profession, occupation, or trade",,Occupation - Job,Individual,FT,All respondents
1910,19,1910_19,Industry,,Occupation - Job,Individual,FT,All respondents
1910,20,1910_20,"Employer, employee, or self-employed",,Occupation - Job,Individual,CC,All respondents
1910,21,1910_21,"If employee, unemployed on April 15",,Occupation - Unemployment,Individual,BN,All respondents
1910,22,1910_22,Weeks unemployed previous year,,Occupation - Unemployment,Individual,FN,All respondents
1910,25,1910_25,At school in the last year,,Education,Individual,BN,All respondents
1910,23,1910_23,Able to read,,Education,Individual,BN,All respondents
1910,24,1910_24,Able to write,,Education,Individual,BN,All respondents
1910,26,1910_26,Rent or own,,Housing,Individual,CC,All respondents
1910,27,1910_27,"If owned, mortgaged",,Housing,Individual,BN,All respondents
1910,28,1910_28,Farm or house,,Housing,Individual,CC,All respondents
1910,30,1910_30,Soldier in Civil War,,Veteran status,Individual,BN,All respondents
1910,31,1910_31,Blind,,Disability,Individual,BN,All respondents
1910,32,1910_32,Deaf/dumb,,Disability,Individual,BN,All respondents
1920,5,1920_5,Name,,Identity,Individual,FT,All respondents
1920,6,1920_6,Relationship to head of family,,Family,Individual,FT,All respondents
1920,7,1920_7,Rent or own,,Housing,Individual,CC,All respondents
1920,8,1920_8,"If owned, mortgaged",,Housing,Individual,BN,All respondents
1920,9,1920_9,Sex,,Identity,Individual,FT,All respondents
1920,10,1920_10,Color or race,,Race,Individual,FT,All respondents
1920,11,1920_11,Age,,Identity,Individual,FN,All respondents
1920,12,1920_12,"Single, married, widowed, or divorced",,Family,Individual,CC,All respondents
1920,13,1920_13,Year of immigration to US,,Immigration,Individual,FD,All respondents
1920,14,1920_14,Naturalized,,Immigration,Individual,CC,All respondents
1920,15,1920_15,"If naturalized, year of naturalization",,Immigration,Individual,FD,All respondents
1920,16,1920_16,At school in the last year,,Education,Individual,BN,All respondents
1920,17,1920_17,Able to read,,Education,Individual,BN,All respondents
1920,18,1920_18,Able to write,,Education,Individual,BN,All respondents
1920,19,1920_19,Place of Birth (state or country),,National origin,Individual,FT,All respondents
1920,24,1920_24,Mother mother tongue,,National origin,Individual,FT,All respondents
1920,21,1920_21,Father place of birth,,National origin,Individual,FT,All respondents
1920,22,1920_22,Father mother tongue,,National origin,Individual,FT,All respondents
1920,23,1920_23,Mother place of birth,,National origin,Individual,FT,All respondents
1920,20,1920_20,Mother tongue,,National origin,Individual,FT,All respondents
1920,25,1920_25,Able to speak English,,National origin,Individual,BN,All respondents
1920,26,1920_26,"Profession, occupation, or trade",,Occupation - Job,Individual,FT,All respondents
1920,27,1920_27,Industry,,Occupation - Job,Individual,FT,All respondents
1920,28,1920_28,"Employer, employee, or self-employed",,Occupation - Job,Individual,CC,All respondents
1930,5,1930_5,Name,,Identity,Individual,FT,All respondents
1930,6,1930_6,Relationship to head of family,,Family,Individual,FT,All respondents
1930,7,1930_7,Rent or own,,Housing,Individual,CC,Head of family
1930,8,1930_8,Home value or monthly rent,,Housing,Individual,FM,Head of family
1930,9,1930_9,Radio set,,Housing,Individual,CC,Head of family
1930,10,1930_10,Farm,,Housing,Individual,BN,Head of family
1930,11,1930_11,Sex,,Identity,Individual,CC,All respondents
1930,12,1930_12,Color or race,,Race,Individual,CC,All respondents
1930,13,1930_13,Age,,Identity,Individual,FN,All respondents
1930,14,1930_14,Marital status,,Family,Individual,CC,All respondents
1930,15,1930_15,Age at first marriage,,Family,Individual,FN,Ever married
1930,16,1930_16,At school in the last year,,Education,Individual,BN,All respondents
1930,17,1930_17,Able to read and write,,Education,Individual,BN,10 or over
1930,18,1930_18,Place of Birth (state or country),,National origin,Individual,FT,All respondents
1930,19,1930_19,Father place of birth,,National origin,Individual,FT,All respondents
1930,20,1930_20,Mother place of birth,,National origin,Individual,FT,All respondents
1930,21,1930_21,Mother tongue,,National origin,Individual,FT,Foreign born
1930,22,1930_22,Year of immigration to US,,Immigration,Individual,FD,All respondents
1930,23,1930_23,Naturalized,,Immigration,Individual,CC,All respondents
1930,24,1930_24,Able to speak English,,National origin,Individual,BN,10 or over
1930,25,1930_25,"Profession, occupation, or trade",,Occupation - Job,Individual,FT,All respondents
1930,26,1930_26,Industry,,Occupation - Job,Individual,FT,Employed
1930,27,1930_27,Class of worker,,Occupation - Job,Individual,CC,Employed
1930,28,1930_28,At work last work day,,Occupation - Unemployment,Individual,BN,Employed
1930,30,1930_30,Veteran,,Veteran status,Individual,BN,"21 or over, male"
1930,31,1930_31,What war or expedition,,Veteran status,Individual,CC,All respondents
1940,4,1940_4,Rent or own,,Housing,Individual,CC,All respondents
1940,5,1940_5,Home value or monthly rent,,Housing,Individual,FM,All respondents
1940,6,1940_6,Farm,,Housing,Individual,BN,All respondents
1940,7,1940_7,Name,,Identity,Individual,FT,All respondents
1940,8,1940_8,Relationship to head of family,,Family,Individual,FT,All respondents
1940,9,1940_9,Sex,,Identity,Individual,CC,All respondents
1940,10,1940_10,Color or race,,Race,Individual,CC,All respondents
1940,11,1940_11,Age,,Identity,Individual,FN,All respondents
1940,12,1940_12,Marital status,,Family,Individual,CC,All respondents
1940,13,1940_13,At school in the last year,,Education,Individual,BN,All respondents
1940,14,1940_14,Education level completed,,Education,Individual,CC,All respondents
1940,15,1940_15,Place of Birth (state or country),,National origin,Individual,FT,All respondents
1940,16,1940_16,Citizenship of foreign born,,Immigration,Individual,CC,Foreign born
1940,17_18_19_20,1940_17_18_19_20,Residence in 1935,,Housing,Individual,FT,All respondents
1940,21,1940_21,At work last week (private/non-emergency),,Occupation - Unemployment,Individual,BN,14 or over
1940,22,1940_22,At work last week (public emergency),,Occupation - Unemployment,Individual,BN,14 or over
1940,23,1940_23,Seeking work,,Occupation - Unemployment,Individual,BN,14 or over
1940,24,1940_24,Have a job,,Occupation - Job,Individual,BN,14 or over
1940,25,1940_25,Occupation other than work,,Occupation - Unemployment,Individual,CC,14 or over
1940,26,1940_26,"If private work, hours per week",,Occupation - Unemployment,Individual,FN,14 or over
1940,27,1940_27,Duration of unemployment,,Occupation - Unemployment,Individual,FN,14 or over
1940,28,1940_28,"Profession, occupation, or trade",,Occupation - Job,Individual,FT,14 or over
1940,29,1940_29,Industry,,Occupation - Job,Individual,FT,14 or over
1940,30,1940_30,Class of worker,,Occupation - Job,Individual,CC,14 or over
1940,31,1940_31,Weeks of work in 1939,,Occupation,Individual,FN,14 or over
1940,32,1940_32,1939 salary,,Occupation - Income,Individual,FN,14 or over
1940,33,1940_33,1939 outside income,,Occupation - Income,Individual,BN,14 or over
1940,36,1940_36,Father place of birth,,National origin,Sampled Individual,FT,All respondents
1940,37,1940_37,Mother place of birth,,National origin,Sampled Individual,FT,All respondents
1940,38,1940_38,Mother tongue,,National origin,Sampled Individual,FT,All respondents
1940,39,1940_39,"Veteran, widow, or child of veteran",,Veteran status,Sampled Individual,BN,All respondents
1940,40,1940_40,"If child, is father dead",,Veteran status,Sampled Individual,BN,All respondents
1940,41,1940_41,War or military service,,Veteran status,Sampled Individual,CC,All respondents
1940,42,1940_42,Has SSN,,Occupation - Income,Sampled Individual,BN,14 or over
1940,43,1940_43,Retirement deductions made in 1939,,Occupation - Income,Sampled Individual,BN,14 or over
1940,44,1940_44,"If so, how much deducted?",,Occupation - Income,Sampled Individual,CC,14 or over
1940,45,1940_45,"Profession, occupation, or trade",,Occupation - Job,Sampled Individual,FT,14 or over
1940,46,1940_46,Industry,,Occupation - Job,Sampled Individual,FT,14 or over
1940,47,1940_47,Class of worker,,Occupation - Job,Sampled Individual,CC,14 or over
1940,48,1940_48,Married more than once,,Family,Sampled Individual,BN,"Ever married, women"
1940,49,1940_49,Age at first marriage,,Family,Sampled Individual,FN,"Ever married, women"
1940,50,1940_50,Mother of how many children,,Family,Sampled Individual,FN,"Ever married, women"
1940,H,1940_H,Housing questionnaire,,Housing,Sampled Household,CC,All respondents
1950,4,1950_4,House on a farm or ranch,,Housing,Individual,BN,All respondents
1950,5,1950_5,House on 3+ acres,,Housing,Individual,BN,All respondents
1950,7,1950_7,Name,,Identity,Individual,FT,All respondents
1950,8,1950_8,Relationship to head of family,,Family,Individual,FT,All respondents
1950,9,1950_9,Race,,Race,Individual,CC,All respondents
1950,10,1950_10,Sex,,Identity,Individual,FT,All respondents
1950,11,1950_11,Age,,Identity,Individual,FN,All respondents
1950,12,1950_12,Marital status,,Family,Individual,CC,All respondents
1950,13,1950_13,Place of Birth (state or country),,National origin,Individual,FT,All respondents
1950,14,1950_14,Naturalized,,Immigration,Individual,CC,All respondents
1950,15,1950_15,Doing most of last week,,Occupation,Individual,CC,14 or over
1950,16,1950_16,Did any non-housekeeping last week,,Occupation,Individual,BN,14 or over
1950,19,1950_19,Hours worked last week,,Occupation,Individual,FN,14 or over
1950,17,1950_17,Seeking work,,Occupation - Unemployment,Individual,BN,14 or over
1950,18,1950_18,Have a job or business,,Occupation,Individual,BN,14 or over
1950,20a,1950_20a,Type of work,,Occupation - Job,Individual,FT,14 or over
1950,20b,1950_20b,Industry,,Occupation - Job,Individual,FT,14 or over
1950,20c,1950_20c,Class of worker,,Occupation - Job,Individual,CC,14 or over
1950,21,1950_21,Living in same house a year ago,,Housing,Sampled Individual,BN,All respondents
1950,22,1950_22,Living on a farm a year ago,,Housing,Sampled Individual,BN,All respondents
1950,23,1950_23,Living in same county a year ago,,Housing,Sampled Individual,BN,All respondents
1950,24,1950_24,Residence in 1949 (+ subquestions),,Housing,Sampled Individual,FT,All respondents
1950,25i,1950_25i,Father place of birth,,National origin,Sampled Individual,FT,All respondents
1950,25ii,1950_25ii,Mother place of birth,,National origin,Sampled Individual,FT,All respondents
1950,28,1950_28,Attended school since February 1,,Education,Sampled Individual,CC,All respondents
1950,26,1950_26,Education level attended,,Education,Sampled Individual,CC,All respondents
1950,27,1950_27,Completed highest grade level,,Education,Sampled Individual,BN,All respondents
1950,29,1950_29,How many weeks seeking work,,Occupation - Unemployment,Sampled Individual,FN,14 or over
1950,30,1950_30,Weeks of work in 1949,,Occupation,Sampled Individual,FN,14 or over
1950,31a,1950_31a,1949 salary as employee,,Occupation - Income,Sampled Individual,FN,14 or over
1950,31b,1950_31b,1949 salary in own business/farm,,Occupation - Income,Sampled Individual,FN,14 or over
1950,31c,1950_31c,1949 outside income,,Occupation - Income,Sampled Individual,FN,14 or over
1950,32a,1950_32a,1949 household salary as employees,,Occupation - Income,Sampled Individual,FN,14 or over
1950,32b,1950_32b,1949 household salary from own business/farm,,Occupation - Income,Sampled Individual,FN,14 or over
1950,32c,1950_32c,1949 household outside income,,Occupation - Income,Sampled Individual,FN,14 or over
1950,33a,1950_33a,Veteran of WWII,,Veteran status,Sampled Individual,BN,"14 or over, male"
1950,33b,1950_33b,Veteran of WWI,,Veteran status,Sampled Individual,BN,"14 or over, male"
1950,33c,1950_33c,Other service,,Veteran status,Sampled Individual,BN,"14 or over, male"
1950,35a,1950_35a,Profession/occupation/trade of last job,,Occupation - Job,Sampled Individual,FT,"14 or over, male"
1950,35b,1950_35b,"If not employed last week, industry of last job",,Occupation - Job,Sampled Individual,FT,"14 or over, male"
1950,35c,1950_35c,Class of worker of last job,,Occupation - Job,Sampled Individual,FT,"14 or over, male"
1950,36,1950_36,Married more than once,,Family,Sampled Individual,BN,Ever married
1950,37,1950_37,Years of current marital status,,Family,Sampled Individual,FN,Ever married
1950,38,1950_38,Mother of how many children,,Family,Sampled Individual,FN,"Ever married, women"
1950,H,1950_H,Housing questionnaire,,Housing,Sampled Household,CC,All respondents
1960,P2,1960_P2,Name,,Identity,Individual,FT,All respondents
1960,P3,1960_P3,Relationship to head of family,,Family,Individual,FT,All respondents
1960,P4,1960_P4,Sex,,Identity,Individual,CC,All respondents
1960,P5,1960_P5,Race,,Race,Individual,CC,All respondents
1960,P6,1960_P6,Date of birth,,Identity,Individual,FD,All respondents
1960,P7,1960_P7,Marital status,,Family,Individual,CC,14 or over
1960,P8,1960_P8,Place of Birth (state or country),,National origin,Indiv. in sampled household,FT,All respondents
1960,P9,1960_P9,Mother tongue,,National origin,Indiv. in sampled household,FT,Born outside US
1960,P10,1960_P10,Father place of birth,,National origin,Indiv. in sampled household,FT,All respondents
1960,P11,1960_P11,Mother place of birth,,National origin,Indiv. in sampled household,FT,All respondents
1960,P12,1960_P12,Year moved into this house,,Housing,Indiv. in sampled household,CC,All respondents
1960,P13,1960_P13,Residence in 1955 (+ subquestions),,Housing,Indiv. in sampled household,CC,All respondents
1960,P16,1960_P16,Attended school since February 1,,Education,Indiv. in sampled household,BN,All respondents
1960,P14,1960_P14,Education level attended,,Education,Indiv. in sampled household,CC,All respondents
